TYPE,YEAR,MONTH,DOW,HOLIDAY_YN,TIME,REGION,DONG,GUBUN,ADDR,LO,LA,H_DONG,REG_CT,LABEL
승용,2020,6,금,0,23,한밭건강원,괴정동,생활불편신고,대전 서구 가장로 94,127.38435,36.334691,괴정동,8,2.준상습
승용,2020,6,토,1,2,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,토,1,2,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
화물4톤이하,2020,6,토,1,9,인어공주와 연일왕자,월평동,안전신문고,대전 서구 한밭대로707번길 13,127.377243,36.358492,월평2동,14,3.상습
승용,2020,6,토,1,9,아르누보팰리스,둔산동,안전신문고,대전 서구 둔산중로 20,127.387261,36.348432,탄방동,35,3.상습
승용,2020,6,토,1,14,드림얀경,관저동,안전신문고,대전 서구 관저로 157,127.339747,36.299349,관저2동,34,3.상습
승용,2020,6,토,1,15,올레,탄방동,생활불편신고,대전 서구 문정로48번길 30,127.384177,36.345397,탄방동,19,3.상습
승용,2020,6,토,1,16,투나인,둔산동,생활불편신고,대전 서구 둔산로31번길 17 1층,127.377268,36.352526,둔산2동,19,3.상습
승용,2020,6,토,1,18,종로약국,둔산동,안전신문고,대전 서구 둔산로 206,127.396766,36.351094,둔산3동,8,2.준상습
승용,2020,6,토,1,18,국화아파트,둔산동,안전신문고,대전 서구 둔산로 201,127.397401,36.354035,둔산3동,7,2.준상습
승용,2020,6,일,1,0,허가네본가,갈마동,생활불편신고,대전 서구 갈마로 10,127.368776,36.351508,갈마1동,4,2.준상습
승용,2020,6,일,1,14,마라탕,탄방동,생활불편신고,대전 서구 갈마로 10,127.368776,36.351508,갈마1동,4,2.준상습
승용,2020,6,일,1,14,마라탕,탄방동,생활불편신고,대전 서구 갈마로 10,127.368776,36.351508,갈마1동,4,2.준상습
승용,2020,6,일,1,17,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
화물4톤이하,2020,6,일,1,17,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,6,일,1,19,다온숲아파트,관저동,생활불편신고,대전 서구 구봉산북로 165,127.338941,36.293243,관저2동,4,2.준상습
승용,2020,6,일,1,19,선사인혜요양병원,월평동,안전신문고,대전 서구 대덕대로317번길 26,127.377911,36.361334,월평2동,23,3.상습
화물4톤이하,2020,6,일,1,21,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,일,1,21,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,월,0,2,서울여성병원,둔산동,생활불편신고,대전 서구 문정로 7 진영빌딩,127.380589,36.345468,둔산2동,10,2.준상습
승용,2020,6,월,0,12,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,6,월,0,12,금강C&P,만년동,안전신문고,대전 서구 만년남로11번길 34,127.374762,36.366374,만년동,7,2.준상습
승합,2020,6,월,0,13,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
승용,2020,6,월,0,14,아이비에스빌딩,탄방동,생활불편신고,대전 서구 계룡로509번길 45,127.382814,36.345858,탄방동,22,3.상습
승용,2020,6,월,0,14,아이비에스빌딩,탄방동,생활불편신고,대전 서구 계룡로509번길 45,127.382814,36.345858,탄방동,22,3.상습
승용,2020,6,월,0,16,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,월,0,16,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,월,0,16,가장로부근,가장동,주행형CCTV,대전 서구 가장로 106 삼성래미안아파트관리소,127.385584,36.333634,가장동,2,2.준상습
승용,2020,6,월,0,19,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,6,월,0,19,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
